Provinsi,Tahun,Produksi,Komoditas
ACEH,2020,63951.0,Jagung
ACEH,2021,57836.0,Jagung
ACEH,2022,72242.0,Jagung
ACEH,2023,66364.0,Jagung
ACEH,2024,52249.0,Jagung
ACEH,2020,629.0,Kacang Hijau
ACEH,2021,327.9,Kacang Hijau
ACEH,2022,2043.81,Kacang Hijau
ACEH,2023,354.0,Kacang Hijau
ACEH,2024,334.0,Kacang Hijau
ACEH,2020,3089.07,Kacang Tanah
ACEH,2021,2738.89,Kacang Tanah
ACEH,2022,2043.81,Kacang Tanah
ACEH,2023,1835.0,Kacang Tanah
ACEH,2024,1629.0,Kacang Tanah
ACEH,2020,774.05,Kedelai
ACEH,2021,882.1,Kedelai
ACEH,2022,1501.89,Kedelai
ACEH,2023,11604.0,Kedelai
ACEH,2024,7101.0,Kedelai
ACEH,2020,1757313.07,Padi
ACEH,2021,1634639.6,Padi
ACEH,2022,1509456.46,Padi
ACEH,2023,1404234.82,Padi
ACEH,2024,1659966.28,Padi
BALI,2020,34995.0,Jagung
BALI,2021,50118.0,Jagung
BALI,2022,53206.0,Jagung
BALI,2023,46902.0,Jagung
BALI,2024,39055.0,Jagung
BALI,2020,231.7,Kacang Hijau
BALI,2021,221.5,Kacang Hijau
BALI,2022,192.7,Kacang Hijau
BALI,2023,52.0,Kacang Hijau
BALI,2024,47.0,Kacang Hijau
BALI,2020,5464.93,Kacang Tanah
BALI,2021,4978.91,Kacang Tanah
BALI,2022,5404.42,Kacang Tanah
BALI,2023,4429.0,Kacang Tanah
BALI,2024,4101.0,Kacang Tanah
BALI,2020,2339.08,Kedelai
BALI,2021,2956.49,Kedelai
BALI,2022,3249.74,Kedelai
BALI,2023,5158.0,Kedelai
BALI,2024,1605.0,Kedelai
BALI,2020,532168.45,Padi
BALI,2021,618910.81,Padi
BALI,2022,680601.6,Padi
BALI,2023,673580.65,Padi
BALI,2024,635473.35,Padi
BANTEN,2020,20350.0,Jagung
BANTEN,2021,9394.0,Jagung
BANTEN,2022,9603.0,Jagung
BANTEN,2023,14367.0,Jagung
BANTEN,2024,12677.0,Jagung
BANTEN,2020,400.5,Kacang Hijau
BANTEN,2021,292.4,Kacang Hijau
BANTEN,2022,226.7,Kacang Hijau
BANTEN,2023,180.0,Kacang Hijau
BANTEN,2024,581.0,Kacang Hijau
BANTEN,2020,4528.3,Kacang Tanah
BANTEN,2021,3804.86,Kacang Tanah
BANTEN,2022,4342.56,Kacang Tanah
BANTEN,2023,2403.0,Kacang Tanah
BANTEN,2024,2149.0,Kacang Tanah
BANTEN,2020,910.9,Kedelai
BANTEN,2021,386.02,Kedelai
BANTEN,2022,1849.25,Kedelai
BANTEN,2023,8073.0,Kedelai
BANTEN,2024,1591.0,Kedelai
BANTEN,2020,1655170.09,Padi
BANTEN,2021,1603247.0,Padi
BANTEN,2022,1788582.6,Padi
BANTEN,2023,1686483.29,Padi
BANTEN,2024,1550623.46,Padi
BENGKULU,2020,23416.0,Jagung
BENGKULU,2021,36935.0,Jagung
BENGKULU,2022,71756.0,Jagung
BENGKULU,2023,50421.0,Jagung
BENGKULU,2024,62877.0,Jagung
BENGKULU,2020,206.6,Kacang Hijau
BENGKULU,2021,159.2,Kacang Hijau
BENGKULU,2022,213.5,Kacang Hijau
BENGKULU,2023,206.0,Kacang Hijau
BENGKULU,2024,184.0,Kacang Hijau
BENGKULU,2020,1454.94,Kacang Tanah
BENGKULU,2021,1508.62,Kacang Tanah
BENGKULU,2022,1433.22,Kacang Tanah
BENGKULU,2023,1638.0,Kacang Tanah
BENGKULU,2024,1119.0,Kacang Tanah
BENGKULU,2020,15.8,Kedelai
BENGKULU,2021,6.46,Kedelai
BENGKULU,2022,3.21,Kedelai
BENGKULU,2023,999.0,Kedelai
BENGKULU,2024,908.0,Kedelai
BENGKULU,2020,292834.04,Padi
BENGKULU,2021,271117.19,Padi
BENGKULU,2022,281610.09,Padi
BENGKULU,2023,286684.43,Padi
BENGKULU,2024,272848.55,Padi
DAERAH ISTIMEWA YOGYAKARTA,2020,169431.0,Jagung
DAERAH ISTIMEWA YOGYAKARTA,2021,197155.0,Jagung
DAERAH ISTIMEWA YOGYAKARTA,2022,218046.0,Jagung
DAERAH ISTIMEWA YOGYAKARTA,2023,217546.0,Jagung
DAERAH ISTIMEWA YOGYAKARTA,2024,189378.0,Jagung
DAERAH ISTIMEWA YOGYAKARTA,2020,563.6,Kacang Hijau
DAERAH ISTIMEWA YOGYAKARTA,2021,556.1,Kacang Hijau
DAERAH ISTIMEWA YOGYAKARTA,2022,497.8,Kacang Hijau
DAERAH ISTIMEWA YOGYAKARTA,2023,495.0,Kacang Hijau
