Provinsi,Komoditas,Produksi
ACEH,Jagung,312642.0
ACEH,Kacang Hijau,3688.71
ACEH,Kacang Tanah,11335.77
ACEH,Kedelai,21863.04
ACEH,Padi,7965610.23
BALI,Jagung,224276.0
BALI,Kacang Hijau,744.9
BALI,Kacang Tanah,24378.26
BALI,Kedelai,15308.31
BALI,Padi,3140734.86
BANTEN,Jagung,66391.0
BANTEN,Kacang Hijau,1680.6
BANTEN,Kacang Tanah,17227.72
BANTEN,Kedelai,12810.17
BANTEN,Padi,8284106.44
BENGKULU,Jagung,245405.0
BENGKULU,Kacang Hijau,969.3
BENGKULU,Kacang Tanah,7153.78
BENGKULU,Kedelai,1932.47
BENGKULU,Padi,1405094.3
DAERAH ISTIMEWA YOGYAKARTA,Jagung,991556.0
DAERAH ISTIMEWA YOGYAKARTA,Kacang Hijau,2261.5
DAERAH ISTIMEWA YOGYAKARTA,Kacang Tanah,312206.16000000003
DAERAH ISTIMEWA YOGYAKARTA,Kedelai,37283.02
DAERAH ISTIMEWA YOGYAKARTA,Padi,2628571.97
DAERAH KHUSUS IBUKOTA JAKARTA,Jagung,0.0
DAERAH KHUSUS IBUKOTA JAKARTA,Kacang Hijau,0.0
DAERAH KHUSUS IBUKOTA JAKARTA,Kacang Tanah,0.0
DAERAH KHUSUS IBUKOTA JAKARTA,Kedelai,0.0
DAERAH KHUSUS IBUKOTA JAKARTA,Padi,15111.99
GORONTALO,Jagung,3096594.0
GORONTALO,Kacang Hijau,62.8
GORONTALO,Kacang Tanah,808.64
GORONTALO,Kedelai,10728.45
GORONTALO,Padi,1188449.23
JAMBI,Jagung,43056.0
JAMBI,Kacang Hijau,126.0
JAMBI,Kacang Tanah,9094.69
JAMBI,Kedelai,24791.39
JAMBI,Padi,1519270.07
JAWA BARAT,Jagung,2778474.0
JAWA BARAT,Kacang Hijau,27636.0
JAWA BARAT,Kacang Tanah,181415.68
JAWA BARAT,Kedelai,201320.1
JAWA BARAT,Padi,45330988.49
JAWA TENGAH,Jagung,11433469.0
JAWA TENGAH,Kacang Hijau,370546.7
JAWA TENGAH,Kacang Tanah,330467.41
JAWA TENGAH,Kedelai,309817.3
JAWA TENGAH,Padi,46439671.5
JAWA TIMUR,Jagung,22470576.0
JAWA TIMUR,Kacang Hijau,218616.9
JAWA TIMUR,Kacang Tanah,571397.9299999999
JAWA TIMUR,Kedelai,379753.72
JAWA TIMUR,Padi,48241738.22
KALIMANTAN BARAT,Jagung,292920.0
KALIMANTAN BARAT,Kacang Hijau,1817.9
KALIMANTAN BARAT,Kacang Tanah,3185.25
KALIMANTAN BARAT,Kedelai,538.0799999999999
KALIMANTAN BARAT,Padi,3686368.51
KALIMANTAN SELATAN,Jagung,661966.0
KALIMANTAN SELATAN,Kacang Hijau,671.4
KALIMANTAN SELATAN,Kacang Tanah,13511.82
KALIMANTAN SELATAN,Kedelai,13364.25
KALIMANTAN SELATAN,Padi,4891153.32
KALIMANTAN TENGAH,Jagung,172493.0
KALIMANTAN TENGAH,Kacang Hijau,103.37
KALIMANTAN TENGAH,Kacang Tanah,1306.17
KALIMANTAN TENGAH,Kedelai,412.03
KALIMANTAN TENGAH,Padi,1879988.17
KALIMANTAN TIMUR,Jagung,57368.0
KALIMANTAN TIMUR,Kacang Hijau,395.9
KALIMANTAN TIMUR,Kacang Tanah,3333.68
KALIMANTAN TIMUR,Kedelai,320.29
KALIMANTAN TIMUR,Padi,1223153.08
KALIMANTAN UTARA,Jagung,4328.0
KALIMANTAN UTARA,Kacang Hijau,99.0
KALIMANTAN UTARA,Kacang Tanah,427.1
KALIMANTAN UTARA,Kedelai,206.07
KALIMANTAN UTARA,Padi,147757.06
KEPULAUAN BANGKA BELITUNG,Jagung,845.0
KEPULAUAN BANGKA BELITUNG,Kacang Hijau,0.3
KEPULAUAN BANGKA BELITUNG,Kacang Tanah,1070.37
KEPULAUAN BANGKA BELITUNG,Kedelai,12.32
KEPULAUAN BANGKA BELITUNG,Padi,333204.32
KEPULAUAN RIAU,Jagung,62.6
KEPULAUAN RIAU,Kacang Hijau,0.5
KEPULAUAN RIAU,Kacang Tanah,298.41
KEPULAUAN RIAU,Kedelai,6.68
KEPULAUAN RIAU,Padi,1991.02
LAMPUNG,Jagung,5755544.0
